#date	category	vendor	description	amount	transaction type	account name	from	to	group	action
@date	category	vendor	description	amount	transaction type	account name	from	to	group	action
Thu 12.01	Gift	AliExpress	AliExpress	29	debit	Visa Signature	jn	jn	xmas	"jn (*:self), gd (*:self), xmas (*:group)"
Thu 12.01	Gift	AliExpress	AliExpress	26	debit	Visa Signature	jn	gd	xmas	
Thu 12.01	Shopping	AliExpress	AliExpress	30	debit	Visa Signature	jn	"jn,gd"	xmas	
Thu 12.01	Gift	Saks	Saks	10.7	debit	Visa Signature	jn	jn	xmas	
Fri 12.02	Home Improvement	Home Depot	THE HOME DEPOT #6845 JERSEY CITY NJ	9.28	debit	Citi Double Cash	jn	jn	default	"jn (*:self), gd (*:self), default (*:group)"
Fri 12.02	Home Supplies	Harland Clarke Chk	HARLAND CLARKE CHK ORDERS	11.95	debit	TD CONVENIENCE CHECKING	jn	"jn,gd"		
Fri 12.02	Mortgage & Rent	Nationstar Des Nationstar	Nationstar DES:Nationstar ID:XXXXX24884 INDN:JOHN NAZARETH CO ID:XXXXX03036 PPD	2322.48	debit	BofA Core Checking	jn	jn		
Sat 12.03	Alcohol & Bars	Jersey City Buyrite LLC	JERSEY CITY BUYRITE LL JERSEY CITY NJ	39.58	debit	Citi Double Cash	jn	jn		
Sat 12.03	Entertainment	Ticketmaster	TM *CHRISTMAS SPECTACU	91.6	debit	Visa Signature	jn	gd	xmas	
Sat 12.03	Gift	Old Navy	OLD NAVY ON-LINE	13	debit	Visa Signature	jn	"jn,gd"	xmas	
Mon 12.05	Charity	Faith Direct Churc	FAITH DIRECT*THE CHURC 866-5078757 NJ	80	debit	Citi Double Cash	jn	jn		
Mon 12.05	Alcohol & Bars	Tir Na Nog	TIR NA NOG 39TH ST NEW YORK NY	27.6	debit	Citi Double Cash	jn	jn		
Mon 12.05	Shopping	Finish Line	WWW.FINISHLINE.COM	71.98	debit	Visa Signature	jn	jn		
Mon 12.05	Utilities	PSE&G	PSE&G Public Svc Electric & Gas Bill Payment	63.6	debit	BofA Core Checking	jn	jn		
Mon 12.05	Television	Cablevision	Cablevision Bill Payment	113.42	debit	BofA Core Checking	jn	jn		
Mon 12.05	Groceries	Shop Rite	DDA PURCHASE *97010004 SHOPRITE HOBOKEN S1 90 HOBOKEN * NJ	8.04	debit	TD CONVENIENCE CHECKING	jn	jn		
Mon 12.05	Groceries	Shop Rite	DDA PURCHASE *97010005 SHOPRITE HOBOKEN S1 90 HOBOKEN * NJ	7.2	debit	TD CONVENIENCE CHECKING	jn	jn		
Mon 12.05	Groceries	Shop Rite Lqrs	VISA DDA REF469216 SHOPRITE LQRS HOBOKEN HOBOKEN * NJ	-9.62	credit	TD CONVENIENCE CHECKING	jn	jn		
Mon 12.05	Groceries	Shop Rite Lqrs	DDA PURCHASE *9701001 SHOPRITE LQRS HOBOKEN HOBOKEN * NJ	9.62	debit	TD CONVENIENCE CHECKING	jn	jn		
