								transaction amounts(you owe) / owed to you	individual totals
Item	Category	Vendor	Description	Amount	From	To	Action	gd	jn	gd	jn	CheckSum	gd	jn	IndCheckSum
Fri 12.02	Home Improvement	Home Depot	THE HOME DEPOT #6845 JERSEY CITY NJ	9.28	jn	jn	jn (*:self), gd (*:self), default (*:group)	0.00	9.28	0.00	0.00	0.00	0.00	9.28	0.00
Fri 12.02	Home Supplies	Harland Clarke Chk	HARLAND CLARKE CHK ORDERS	11.95	jn	jn,gd		5.97	5.97	-5.97	5.97	0.00	5.97	15.25	0.00
Fri 12.02	Mortgage & Rent	Nationstar Des Nationstar	Nationstar DES:Nationstar ID:XXXXX24884 INDN:JOHN NAZARETH CO ID:XXXXX03036 PPD	2322.48	jn	jn		0.00	2322.48	-5.97	5.97	0.00	5.97	2337.73	0.00
Sat 12.03	Alcohol & Bars	Jersey City Buyrite LLC	JERSEY CITY BUYRITE LL JERSEY CITY NJ	39.58	jn	jn		0.00	39.58	-5.97	5.97	0.00	5.97	2377.31	0.00
Mon 12.05	Charity	Faith Direct Churc	FAITH DIRECT*THE CHURC 866-5078757 NJ	80	jn	jn		0.00	80.00	-5.97	5.97	0.00	5.97	2457.31	0.00
Mon 12.05	Alcohol & Bars	Tir Na Nog	TIR NA NOG 39TH ST NEW YORK NY	27.6	jn	jn		0.00	27.60	-5.97	5.97	0.00	5.97	2484.92	0.00
Mon 12.05	Shopping	Finish Line	WWW.FINISHLINE.COM	71.98	jn	jn		0.00	71.98	-5.97	5.97	0.00	5.97	2556.90	0.00
Mon 12.05	Utilities	PSE&G	PSE&G Public Svc Electric & Gas Bill Payment	63.6	jn	jn		0.00	63.60	-5.97	5.97	0.00	5.97	2620.50	0.00
Mon 12.05	Television	Cablevision	Cablevision Bill Payment	113.42	jn	jn		0.00	113.42	-5.97	5.97	0.00	5.97	2733.92	0.00
Mon 12.05	Groceries	Shop Rite	DDA PURCHASE *97010004 SHOPRITE HOBOKEN S1 90 HOBOKEN * NJ	8.04	jn	jn		0.00	8.04	-5.97	5.97	0.00	5.97	2741.96	0.00
Mon 12.05	Groceries	Shop Rite	DDA PURCHASE *97010005 SHOPRITE HOBOKEN S1 90 HOBOKEN * NJ	7.2	jn	jn		0.00	7.20	-5.97	5.97	0.00	5.97	2749.16	0.00
Mon 12.05	Groceries	Shop Rite Lqrs	VISA DDA REF469216 SHOPRITE LQRS HOBOKEN HOBOKEN * NJ	-9.62	jn	jn		0.00	-9.62	-5.97	5.97	0.00	5.97	2739.53	0.00
Mon 12.05	Groceries	Shop Rite Lqrs	DDA PURCHASE *9701001 SHOPRITE LQRS HOBOKEN HOBOKEN * NJ	9.62	jn	jn		0.00	9.62	-5.97	5.97	0.00	5.97	2749.16	0.00
Wed 12.07	Alcohol & Bars	Hells Kitchen	SMITHS HELLS KITCHEN NEW YORK NY	8	jn	jn		0.00	8.00	-5.97	5.97	0.00	5.97	2757.16	0.00
Wed 12.07	Public Transportation	Pathtvm Hoboken City	PATHTVM*HOBOKEN CITY /	11.1	jn	jn		0.00	11.10	-5.97	5.97	0.00	5.97	2768.26	0.00
Thu 12.08	Public Transportation	Njt Pabt	CHECKCARD 1207 NJT PABT 0924 NEWARK NJ 24164076342487000515641	28	jn	jn		0.00	28.00	-5.97	5.97	0.00	5.97	2796.26	0.00
Fri 12.09	Lunch	Burger King	BURGER KING #12871 Q07 NEW YORK NY	5.44	jn	jn		0.00	5.44	-5.97	5.97	0.00	5.97	2801.70	0.00
Fri 12.09	Groceries	Shop Rite	DDA PURCHASE *97010001 SHOPRITE HOBOKEN S1 90 HOBOKEN * NJ	8.77	jn	jn		0.00	8.77	-5.97	5.97	0.00	5.97	2810.47	0.00
Sun 12.11	Groceries	Aldi	ALDI 60026 NORTH BERGEN NJ	31.29	jn	jn		0.00	31.29	-5.97	5.97	0.00	5.97	2841.76	0.00
Mon 12.12	Alcohol & Bars	Tir Na Nog	TIR NA NOG 39TH ST NEW YORK NY	37.66	jn	jn		0.00	37.66	-5.97	5.97	0.00	5.97	2879.42	0.00
Mon 12.12	Public Transportation	Njt Pabt	NJT PABT 0920	17.5	jn	jn		0.00	17.50	-5.97	5.97	0.00	5.97	2896.92	0.00
